id,temperature,dissolved_oxygen,created_at,updated_at
0b06bb94-b35b-42a3-a470-f00c9ec116ab,24.87,6.669,2025-12-24 08:14:21.777261+00,2025-12-24 08:14:21.777261+00
dc947077-5d9f-4c51-a5b8-5ff7226f2501,24.81,6.669,2025-12-24 08:14:23.937348+00,2025-12-24 08:14:23.937348+00
3f68fdec-5409-4cb4-bce1-ad02bc3f8ba5,24.87,6.35,2025-12-24 08:14:26.099336+00,2025-12-24 08:14:26.099336+00
32a9436b-cdb4-4aa1-b8dc-54f3d2f739db,24.81,6.416,2025-12-24 08:14:50.766164+00,2025-12-24 08:14:50.766164+00
efd73b97-2329-49f0-ab72-f20d865a77b1,24.81,6.416,2025-12-24 08:14:52.885621+00,2025-12-24 08:14:52.885621+00
41a2e012-8472-46b8-82b8-4cd5def39f35,24.81,6.15,2025-12-24 08:14:55.024+00,2025-12-24 08:14:55.024+00
d3eb0d4e-a063-4c47-bb45-daf4fde3e9ff,24.81,6.031,2025-12-24 08:14:57.180405+00,2025-12-24 08:14:57.180405+00
3560f5c4-35f3-400e-b247-a31cae743acf,24.87,6.283,2025-12-24 08:14:59.333012+00,2025-12-24 08:14:59.333012+00
54f07fc0-315d-4ff7-aa93-ec023db1244e,24.81,6.084,2025-12-24 08:15:01.496843+00,2025-12-24 08:15:01.496843+00
0c88ee5b-bd27-4be6-84d8-c99917da8628,24.81,6.35,2025-12-24 08:15:03.736536+00,2025-12-24 08:15:03.736536+00
8fbfdd5c-6af7-4c26-8671-bf3a383fd71c,24.81,6.031,2025-12-24 08:15:05.988963+00,2025-12-24 08:15:05.988963+00
5d723037-b0ce-42e6-97bc-4470c90d6ac2,24.81,6.031,2025-12-24 08:15:08.128866+00,2025-12-24 08:15:08.128866+00
43c320db-1ee9-4b25-a579-0918981d611f,24.81,5.964,2025-12-24 08:15:10.285431+00,2025-12-24 08:15:10.285431+00
7e92cef1-4bfc-48ab-9b2b-6d41d50c9a35,24.81,6.084,2025-12-24 08:15:23.605755+00,2025-12-24 08:15:23.605755+00
94e9f853-36a3-470c-8c2d-d9fed50d72de,24.81,6.35,2025-12-24 08:15:25.963119+00,2025-12-24 08:15:25.963119+00
b31b31a5-8521-4d52-85d1-c1c37e429357,24.81,6.283,2025-12-24 08:15:28.217368+00,2025-12-24 08:15:28.217368+00
39152692-bdd1-49b7-89c9-aa811eeed37d,24.75,6.283,2025-12-24 08:15:30.457567+00,2025-12-24 08:15:30.457567+00
681cac55-98b2-40d6-8062-691533ba5508,24.81,6.416,2025-12-24 08:15:32.717947+00,2025-12-24 08:15:32.717947+00
5be72713-eaa6-4eb6-aeef-9038ebb6ee83,24.81,6.35,2025-12-24 08:15:34.868395+00,2025-12-24 08:15:34.868395+00
8eae91a6-9034-417e-ba91-c645524dc8c6,24.81,6.35,2025-12-24 08:15:37.304344+00,2025-12-24 08:15:37.304344+00
5852e7c4-4c48-448a-940e-c42854d9852e,24.81,6.217,2025-12-24 08:15:39.522665+00,2025-12-24 08:15:39.522665+00
c784641a-ad7a-4351-a4b9-e7d6864b9543,24.81,5.964,2025-12-24 08:15:41.629045+00,2025-12-24 08:15:41.629045+00
871f23d8-e41a-4af7-9080-bdb536d94a32,24.81,6.934,2025-12-24 08:15:43.828272+00,2025-12-24 08:15:43.828272+00
642ba960-5041-4b70-8f79-452628bcd0ce,24.81,6.283,2025-12-24 08:15:46.233008+00,2025-12-24 08:15:46.233008+00
05e94f40-c3cf-4317-95e5-17d05391f9cb,24.81,6.416,2025-12-24 08:15:48.38293+00,2025-12-24 08:15:48.38293+00
054d32cf-54ae-4dfd-9479-3673d51b96df,24.81,6.15,2025-12-24 08:15:50.732702+00,2025-12-24 08:15:50.732702+00
765e1553-db7d-4411-9d9a-9409d861ceee,24.81,5.964,2025-12-24 08:15:52.884506+00,2025-12-24 08:15:52.884506+00
46138e62-1b64-440a-bb16-5cebc28a5967,24.81,6.934,2025-12-24 08:15:55.243928+00,2025-12-24 08:15:55.243928+00
c8e9e2be-0ed6-45c3-95e2-abe628c86dd8,24.81,6.031,2025-12-24 08:16:08.547219+00,2025-12-24 08:16:08.547219+00
5851d539-b438-4955-b7a5-ccd0fe254ee1,24.81,6.217,2025-12-24 08:16:10.806661+00,2025-12-24 08:16:10.806661+00
2b1e47e8-36b4-4540-9177-7330b4155fd8,24.81,6.283,2025-12-24 08:16:13.258273+00,2025-12-24 08:16:13.258273+00
f7c8f1bf-7e27-40be-9c2c-c1f7d1a181a4,24.81,6.416,2025-12-24 08:16:15.517639+00,2025-12-24 08:16:15.517639+00
d4f738b8-2d92-44f8-946a-50c226bc1edb,24.81,9.007,2025-12-24 08:16:17.664026+00,2025-12-24 08:16:17.664026+00
6040f0ce-2682-4d2b-aa64-4b2321fd6314,24.81,6.217,2025-12-24 08:16:19.918831+00,2025-12-24 08:16:19.918831+00
43a80882-1f42-4db3-9dd1-e52aad320bae,24.81,6.283,2025-12-24 08:16:22.060765+00,2025-12-24 08:16:22.060765+00
15227210-aed7-41a2-9c88-fa18316948ef,24.81,5.964,2025-12-24 08:16:24.212186+00,2025-12-24 08:16:24.212186+00
c21228d2-740e-450c-af88-8a7656723b5b,24.81,6.15,2025-12-24 08:16:26.37017+00,2025-12-24 08:16:26.37017+00
4a0ede9b-cea2-4a39-b2b2-3117766569c2,24.81,6.283,2025-12-24 08:16:39.685393+00,2025-12-24 08:16:39.685393+00
93b79038-cc49-4180-a96e-bb49fc862c66,24.81,11.345,2025-12-24 08:16:41.843994+00,2025-12-24 08:16:41.843994+00
